UV_1_A, UV_1_B, UV_1_COMP_1, UV_1_COMP_2, UV_1_INDEX, UV_2_A, UV_2_B, UV_2_COMP_1, UV_2_COMP_2, UV_2_INDEX, UV_3_A, UV_3_B, UV_3_COMP_1, UV_3_COMP_2, UV_3_INDEX, UV_4_A, UV_4_B, UV_4_COMP_4, UV_4_COMP_4, UV_4_INDEX, ALTITUDE, TEMP, TIMESTAMP  
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.50, Temp71.26, timestamp13223
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.69, Temp71.26, timestamp13984
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.69, Temp71.26, timestamp14746
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.69, Temp71.26, timestamp15507
 UV_1_A 2.00,UV_1_B 1.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.44, Temp71.26, timestamp16269
 UV_1_A 2.00,UV_1_B 1.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.44, Temp71.26, timestamp17031
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.63, Temp71.26, timestamp17792
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.81, Temp71.26, timestamp18553
 UV_1_A 2.00,UV_1_B 1.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.38, Temp71.37, timestamp19314
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.69, Temp71.26, timestamp20076
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.50, Temp71.37, timestamp20837
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 0.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1791.06, Temp71.26, timestamp21599
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 0.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.88, Temp71.26, timestamp22361
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 0.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.88, Temp71.26, timestamp23121
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.63, Temp71.37, timestamp23883
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.63, Temp71.37, timestamp24644
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.81, Temp71.26, timestamp25405
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.94, Temp71.37, timestamp26167
